a,LNG,c,d,Natural gas,f,g,h,Crude oil,j,k
1984,5.1,-,3.9956346778413083,-,-,-,-,5,,
1985,5.234653465346534,-,4.25358680256017,-,-,-,-,4.751724137931034,,
1986,4.1019801980198025,-,3.9286188092638987,-,-,-,-,2.5741379310344827,,
1987,3.3526384150124073,-,2.5475032714532073,-,-,-,-,3.0948275862068964,,
1988,3.3441086383374685,-,2.2203590887643148,-,-,-,-,2.5620689655172413,,
1989,3.2792306399917277,-,2.000513774893691,-,-,1.6966666666666665,-,3.0120689655172415,,
1990,3.644573252688172,-,2.775893133915338,-,-,1.6383333333333334,1.05,3.820689655172414,,
1991,3.985942023366418,-,3.233289,-,-,1.4866666666666666,0.8883333333333333,3.327586206896552,,
1992,3.622634925558313,-,2.698698,-,-,1.7716666666666667,0.9791666666666666,3.1879310344827583,,
1993,3.522022332506204,-,2.511376,-,-,2.120833333333333,1.6925,2.8224137931034488,,
1994,3.179894282464847,-,2.350464,-,-,1.92,1.4525,2.7,,
1995,3.461312293217535,-,2.430162,-,-,1.6866666666666665,0.89,2.963793103448276,,
1996,3.663248294044665,-,2.496835,1.8659711897363076,-,2.7566666666666664,1.1208333333333333,3.537931034482759,,
1997,3.906314619520264,-,2.664762,1.956917605205892,-,2.525,1.3583333333333334,3.2948275862068965,,
1998,3.0496536393713813,-,2.330556,1.8648623956949568,-,2.0841666666666665,1.4225,2.1586206896551725,,
1999,3.1373907930107525,-,1.862812,1.5790676079681265,-,2.265833333333333,1.9958333333333333,2.9758620689655175,,
2000,4.723250749586435,-,2.91031,2.7108360015873005,-,4.225833333333333,3.7475,4.827586206896552,,
2001,4.6376621949958645,-,3.667058,3.174644861666664,-,4.068333333333333,3.611666666666667,4.077586206896552,,
2002,4.273401959263855,-,3.212179,2.372602790158731,-,3.3308333333333326,2.5716666666666668,4.170689655172414,,
2003,4.769179073614558,-,4.063158,3.331474083794466,-,5.625,4.8291666666666675,4.893103448275862,,
2004,5.182033188585607,-,4.301853,4.457235703464567,-,5.849166666666666,5.031666666666666,6.272413793103449,,
2005,6.047708591811414,-,5.830318,7.383074750000005,6.074392528129247,8.785833333333333,7.25,8.736206896551725,,
2006,7.138308390198511,-,7.874267,7.8721078476190485,7.457543288990951,6.764166666666667,5.833333333333333,10.655172413793103,,
2007,7.730110111662531,-,7.994001,6.006382740880959,5.933937463243258,6.95,6.1675,11.953448275862069,,
2008,12.548254626757648,-,11.60052,10.792654611423925,10.657374036622462,8.849166666666664,7.99,16.75689655172414,,
2009,9.058138182382134,5.27538626609442,8.531361,4.85,4.959668552734644,3.893333333333333,3.3825,10.413793103448276,,
2010,10.909390508684863,7.72057768924303,8.031026,6.55614754080632,6.769397069697133,4.388849427134089,3.6859050230485253,13.470689655172414,,
2011,14.72930882961125,14.02,10.49128,9.042480079681285,9.25929146402652,4.0090325667737545,3.474574575911367,18.55344827586207,,
2012,16.748168036600497,15.1160358565737,10.92553,9.464480039242329,9.448102414225609,2.755371572296451,2.268458563554721,18.81896551724138,,
2013,16.169387148469813,16.5567729083665,10.72630774306378,10.638441698276136,9.754109691012173,3.7072900048458393,2.926014838415819,18.248275862068965,,
2014,16.329304306244833,13.856374501992,9.114795570996082,8.253269856949478,8.143721960094197,4.347741550354184,3.868372191705042,16.798275862068966,,
2015,10.305359543010754,7.44989919354839,6.719085379930863,6.526098199889699,6.436970269393376,2.6036668093353295,2.007322125569836,8.77241379310345,,
2016,6.936873190653433,5.72291666666667,4.931313261327524,4.690177974422443,4.539705895409421,2.461838902829233,1.550454830091846,7.044827586206897,,
2017,8.095129626757648,7.1289,5.618241211427841,5.80479507701665,5.7210607189212235,2.9567051841307563,1.5999734247792068,8.974137931034482,,
2018,10.049223919561621,9.76,6.622709851925841,8.06112183983241,7.902356891873713,3.12620324582889,1.1150753843185797,11.684482758620689,,
2019,9.944669535773366,5.4941,5.25296122034329,4.466949453747033,4.447756102328912,2.528934386404092,1.267981496083575,10.817241379310346,,
2020,7.808428970223325,4.38701587301587,4.062832033526022,3.42,3.07,1.9885823204419903,1.581569041,7.18577586,,
1 Source: EDMC Energy Trend.,,,,,,,,,,
"2  Source: S&P Global Platts ©2020, S&P Global Inc.",,,,,,,,,,
"3 Source: 1986 -1990 German Federal Statistical Office, 1991- 2020 German Federal Office of Economics and Export Control (BAFA).",,,,,,,,,,
4 Source: ICIS Heren Energy Ltd.,,,,,,,,,,
"5 Source: Energy Intelligence Group, Natural Gas Week.",,,,,,,,,,
"6 Source: ©OECD/IEA 2020, Oil, Gas, Coal and Electricity, Quarterly Statistics www.iea.org/statistics.",,,,,,,,,,
Note: cif = cost+insurance+freight (average prices).,,,,,,,,,,
