a,Trillion,Trillion_2,Trillion_3,Trillion_4,Trillion_5,g,h,i,j
Canada,1.640925,1.883071002509375,1.9940677701749998,2.35395769365,83.12922188481134,0.012516109956264858,14.249581127153496,,
Mexico,0.8141250000000001,0.3502584233973,0.17806994488800001,0.17806994488800001,6.288480034939679,0.0009468067400431429,5.921498201365151,,
US,4.810646360789625,8.259414562921874,12.618704422344374,12.618704422344374,445.6252899759567,0.06709427806698331,13.796649147024725,,
Total North America,7.265696360789625,10.492743988828549,14.790842137407374,15.150732060882374,535.0429918957077,0.08055719476329132,13.650690487536913,,
Argentina,0.75855,0.3488473276699787,0.38556774602500005,0.38556774602500005,13.616194886340418,0.0020500828531694218,10.069258876732519,,
Bolivia,0.1883536283024592,0.271648272,0.21286767234749998,0.21286767234749998,7.517350041767453,0.0011318279850239356,14.772574668838395,,
Brazil,0.215475,0.43611588149849995,0.37527866300249996,0.34852831763392195,12.308159967312546,0.0018531423730110466,14.565600490846162,,
Colombia,0.125775,0.147313102715625,0.08620746417937498,0.08620746417937498,3.0443875169150445,0.0004583693681625914,6.502153882156917,,
Peru,0.24082500000000004,0.33965141277375,0.275597188055362,0.26144213080364553,9.232740656402628,0.0013901007928756525,21.62512249212453,,
Trinidad & Tobago,0.5430750000000001,0.37066331897250004,0.289563506611875,0.28986642611475005,10.23653505687563,0.0015412341826144846,9.837564140787837,,
Venezuela,4.609183980000001,6.132199626036001,6.260173406416526,6.260173406416526,221.07591208764146,0.03328565288635317,333.8500955485354,,
Other S. & Cent. America,0.11835000000000001,0.0607329402,0.0533048239666865,0.05282357396668651,1.865446695525163,0.00028086556603520725,19.7216826441944,,
Total S. & Cent. America,6.79958760830246,8.107171881866355,7.938560470604824,7.8974767374874055,278.89672690878035,0.04199127600724551,51.660509913007346,,
Denmark,0.1404,0.054031451109999996,0.029640900853888895,0.028027956853326593,0.9897978415344172,0.00014902603847639155,20.31463327235918,,
Germany,0.23205288758399997,0.0766686816,0.0218048544,0.019659538079999997,0.6942699554940311,0.00010453074027728972,4.371456500488757,,
Italy,0.194025,0.0628811925,0.0436006875,0.04239768,1.4972597670845265,0.000225430570057404,10.93937968819886,,
Netherlands,1.57065476,1.15257952,0.12993036,0.12993036,4.588446833666574,0.0006908461765493707,6.505553490959667,,
Norway,1.2495575,2.026685,1.5326780499999997,1.4291801499999999,50.47101488833418,0.007599021831600836,12.823019691747778,,
Poland,0.08776250000000001,0.08050363055429863,0.07226008581447964,0.07226008581447964,2.5518405548628054,0.00038421046476021985,18.39750693936404,,
Romania,0.19695,0.10725,0.07886774999999999,0.07886774999999999,2.7851879865945643,0.00041934374337569463,9.05907250286533,,
Ukraine,0.785030304742282,0.7301978804080631,1.0912109671474803,1.0912109671474803,38.5357472038875,0.0058020229025962655,57.50905365433843,,
United Kingdom,0.7313249999999999,0.25132704999999994,0.18697934276987774,0.18697934276987774,6.603112415708712,0.0009941784510277987,4.736647310569826,,
Other Europe,0.1825902563293325,0.12675255332264754,0.08998732780330557,0.09026828349010056,3.18779398102698,0.00047996094610074704,14.312422711631548,,
Total Europe,5.370348208655615,4.66887695949501,3.2769603262890317,3.1687821141552646,111.9044714281943,0.016848571864822016,14.49783099068694,,
Azerbaijan,0.9901997090239568,1.0209230501032451,2.5036527991692847,2.5036527991692847,88.41565403920039,0.01331204626627087,96.87729138250013,,
Kazakhstan,1.7132322067407268,1.7132322067407268,2.2571154469758783,2.2571154469758783,79.7092706115521,0.012001194921447222,71.22068830014516,,
Russian Federation,33.15571320740412,34.11641819265486,37.55674101264012,37.391524354530056,1320.4690692037645,0.19881259188137218,58.562450529108276,,
Turkmenistan,1.81545,13.60125,13.60125,13.60125,480.32355560630714,0.0723185216972548,230.68055700318942,,
Uzbekistan,0.913575,0.8735999999999998,0.845325,0.845325,29.852367219402744,0.00449463500441003,17.957649794710278,,
Other CIS,0.009032653910090685,0.005114546288458702,0.002982480639692426,0.002860656867809437,0.10102313229415168,1.5210254628293558e-05,9.059838887736937,,
Total CIS,38.59720277707889,51.33053799578729,56.767066739424976,56.60172825754304,1998.8709398125216,0.3009542000253834,70.54268752098054,,
Bahrain,0.26895029498333334,0.20799858998999998,0.077313495555,0.064831428075,2.289500012720784,0.0003447119226472495,3.9442809340807736,,
Iran,25.35,32.26275,32.10137858865,32.10137858865,1133.6493560198176,0.17068462413197874,128.00295388527633,,
Iraq,2.9535500000000003,3.0000999999999998,3.5285259099999995,3.5285259099999995,124.60870222517637,0.018761347492448174,336.2908752271578,,
Israel,0.043875,0.19695,0.5667050219636571,0.5885577426741042,20.78471814288008,0.003129390745972945,39.70731748395025,,
Kuwait,1.4791500000000002,1.6947999999999999,1.6947999999999999,1.6947999999999999,59.851290288875596,0.00901133576491186,113.20953979348307,,
Oman,0.8096075,0.4902658800000001,0.6663475000000001,0.6663475000000001,23.531837181830625,0.0035430027487665843,18.043330447840724,,
Qatar,14.948505,25.923722639127753,24.665471469000003,24.665471469000003,871.0528044625314,0.13114753670463347,143.97417461805563,,
Saudi Arabia,5.98595,7.5053810924999995,5.98454583508532,6.019120015374417,212.56319289813288,0.032003960035308185,53.694173971144025,,
Syria,0.234975,0.26861250000000003,0.26861250000000003,0.26861250000000003,9.485959825773307,0.001428226001978043,89.56901644477738,,
United Arab Emirates,5.84415,5.938725000000001,5.938725000000001,5.938725000000001,209.72407005003706,0.03157649574609169,107.1353530274023,,
Yemen,0.3246836795257267,0.3158923796333485,0.2659327921333484,0.2658310300107585,9.387733151383472,0.0014134367879155688,2618.809443074411,,
Other Middle East,0.006825,0.004695,0.004719640181625,0.004719640181625,0.16667250092605587,2.5094561226216945e-05,24.721280995191655,,
Total Middle East,58.25022147450907,77.8098930812511,75.76307775256896,75.80692082396592,2677.0958367600856,0.4030691626438788,110.4122134441205,,
Algeria,4.3533875,4.335100000000001,4.335100000000001,2.2792,80.48917915176143,0.012118619586610285,27.980621529008626,,
Egypt,1.3792625,2.127125,2.1377125,2.1377125,75.49259581759381,0.011366323522745544,36.563699650190756,,
Libya,1.2483,1.42025,1.429654488813367,1.429654488813367,50.487766003518345,0.007601543914627495,107.44438604146062,,
Nigeria,3.9006999999999996,4.918691588785046,5.4729794499999995,5.4729794499999995,193.2764230628987,0.029100103527503328,110.71926577757421,,
Other Africa,1.0434360305000001,1.2086778747857205,1.571055810629836,1.5690112490795358,55.40910298275348,0.008342510729513484,54.783410456287726,,
Total Africa,11.925086030500001,14.009844463570767,14.946502249443201,12.888557687892899,455.15506701852564,0.06852910128100012,55.722447216901436,,
Australia,1.7183399999999998,2.8596648599999996,2.3895955044697197,2.3895955044697197,84.38775915211785,0.012705597966191046,16.76720683682462,,
Bangladesh,0.29835,0.34514999999999996,0.1102272675879375,0.1102272675879375,3.892638771628048,0.0005860838557255671,4.460141820072446,,
Brunei,0.35685,0.29370661125,0.2223,0.2223,7.850449510984804,0.0011819801395680355,17.585926562341726,,
China,1.3776524090462146,2.747093731563422,8.398549655850541,8.398549655850541,296.59194799259325,0.04465550559780162,43.2883116883117,,
India,0.7313171249999999,1.1054986249999998,1.3288660897833995,1.3204431160449042,46.631003214745704,0.0070208616221070965,55.57290394915102,,
Indonesia,2.72223,3.0095332239524994,1.4295484004993626,1.2522716318174998,44.223550245712254,0.00665839045502807,19.82933880824077,,
Malaysia,1.0635569936578126,1.0272670498726655,0.9082306305087883,0.9082306305087883,32.07385834070687,0.004829107365761325,12.40845825563526,,
Myanmar,0.279825,0.21723189422347913,0.4469344158833254,0.4322118691658466,15.263416360480651,0.0022980919722879393,24.44736200022286,,
Pakistan,0.5007837902770694,0.5510845539773914,0.39464306139179206,0.3847863298650301,13.588599438248147,0.0020459280246412073,12.570229974875986,,
Papua New Guinea,0.0029154279841143785,0.1494403059864569,0.17601944488460564,0.16314447989030173,5.761392273390416,0.0008674473014417157,13.692884609370676,,
Thailand,0.351,0.3100691922577827,0.14308403709987846,0.14308403709987846,5.052964503285976,0.000760784930909907,4.374801577327515,,
Vietnam,0.16575,0.6459286386595777,0.6459286386595777,0.6459286386595777,22.81075198153919,0.003434434649005123,74.13730835765284,,
Other Asia Pacific,0.24648000000000003,0.26009202716697793,0.19093977904799736,0.1892552445678139,6.68348511996718,0.0010062795339102445,11.496929406261817,,
Total Asia Pacific,9.81505074596521,13.521760713910256,16.784866925666925,16.560028405527838,584.8118169054003,0.08805049341437889,25.395796344989623,,
Total World,138.02319320580088,179.94082908470924,190.2678766014053,188.07422608745472,6641.777850729215,1,48.80401692315122,,
