Thousand tonnes1,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,ee,At end of 2020,Share,R/P ratio,ii,jj
Australia,0.10999999999999999,,,,,,,,,,,,0,0,0,0,2.1879999999999997,3.222,1.268,6.2,11.907,13.873,17.263,18.556,17.613,41.437999999999995,1.3462659070439464,,0.1548204384798171,,4100,0.03302669523610059,98.9429991794971,,
Brazil,0.103,,,,,,0,0,0,0.40199999999999997,0.527,0.527,0.6449999999999999,0.45999999999999996,0.16999999999999998,0.13999999999999999,0.13999999999999999,1.6199999999999999,0.33,0,0.8799999999999999,2.1999999999999997,1.7,1.0999999999999999,0.71,1,0.4046024782575235,0.15366825562833442,0.003736194760360469,,21000,0.16916112194100302,21000,,
China,48,55,53,60,69.99999999999999,73,80.6,88,92,97.99999999999999,119,133,120,125,129,89.2,93.8,93.8,93.8,105,105,105,105,120,132,139.99999999999997,0.05770822983937718,0.0023015964384374143,0.5230672664504655,,44000,0.35443282692400635,314.28571428571433,,
India,5,5,5,3.1999999999999997,1.698,1.89,2.651,2.856,2.891,0.149,0.093,0.045,0.034999999999999996,0.022,0.016,,,,0.2946000061035156,1.6949999999999998,0.956,1.5,1.5,2.9,3,3,-3,0.6877189517635203,0.011208584281081407,,6899.999999999999,0.05558151149490099,2299.9999999999995,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,2,4,8,0.994535519125683,,0.029889558082883752,,,,,,
Russian Federation,1.74,1.74,1.74,1.74,2.61,2.61,3.5316201171875,2.5801298828125,1.7225999755859374,2.246919921875,2.15643994140625,2.9349999999999996,2.711,2.4699999999999998,1.898,1.4954999999999998,1.4435999755859374,2.1313000488281246,1.4430999755859373,2.133800048828125,2.312300048828125,3.1000000000000005,2.5,2.6000000000000005,2.6000000000000005,2.6000000000000005,-3,0.0319715248550394,0.009714106376937221,,20602,0.16595511591564496,7923.846153846152,,
Thailand,0,0,0.012,,,,,,,,,,,,4,5.6,3.1,0.12,0.12999999999999998,1.9,0.7599999999999999,1.5999999999999999,1.3,1,1.9,2,0.049755536381938414,-0.07174058895446223,0.007472389520720938,,,,,,
US,22.199999999999996,20.4,10,5,,,,,,,,,,0,0,0,0,3,5.5,5.3999999999999995,5.8999999999999995,0,0,18,27.999999999999996,38,0.35343481654957065,,0.1419754008936978,,1500,0.012082937281500216,39.473684210526315,,
Rest of World2,0.588,0.4699999999999999,0.5379999999999999,0.40199999999999997,0.745,0.446,0.351,0.24,0.36,0.7999999999999999,0.15,0.43,0.37999999999999995,0.12,0.013,0.5499999999999999,0.61,0.3,0.27999999999999997,0.24,0.5599999999999999,2.0959999999999996,0.5519999999999999,21.006,26.613999999999994,31.613999999999997,0.18462549601035838,1.143466399632588,0.11811606115403586,,26040,0.20975979120684374,823.685708863162,,
Total World,77.741,82.61,70.29,70.34199999999998,75.053,77.946,87.13362011718749,93.6761298828125,96.97359997558594,101.59791992187499,121.92643994140624,136.937,123.77099999999999,128.072,135.097,96.9855,101.28159997558593,104.1933000488281,103.04569998168945,122.56880004882812,128.27530004882811,129.36899999999997,129.815,187.162,216.43699999999998,267.65199999999993,0.23324898415018502,0.04825895234384325,1,,124142.00000000001,1,463.8186899406694,,
